index_all,date,info.match_type,info.neutral_venue,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.winner,info.overs,info.teams,info.toss.decision,info.toss.winner
7,"[datetime.date(2017, 1, 13)]",ODI,0,92,,Australia,50,"['Australia', 'Pakistan']",bat,Australia
8,"[datetime.date(2017, 1, 15)]",ODI,0,,6,Pakistan,50,"['Australia', 'Pakistan']",bat,Australia
9,"[datetime.date(2017, 1, 19)]",ODI,0,,7,Australia,50,"['Australia', 'Pakistan']",field,Australia
10,"[datetime.date(2017, 1, 22)]",ODI,0,86,,Australia,50,"['Australia', 'Pakistan']",bat,Australia
11,"[datetime.date(2017, 1, 26)]",ODI,0,57,,Australia,50,"['Australia', 'Pakistan']",bat,Australia
12,"[datetime.date(2017, 2, 17)]",T20,0,,5,Sri Lanka,20,"['Australia', 'Sri Lanka']",field,Sri Lanka
13,"[datetime.date(2017, 2, 19)]",T20,0,,2,Sri Lanka,20,"['Australia', 'Sri Lanka']",field,Sri Lanka
14,"[datetime.date(2017, 2, 22)]",T20,0,41,,Australia,20,"['Australia', 'Sri Lanka']",field,Sri Lanka
15,"[datetime.date(2016, 12, 4)]",ODI,0,68,,Australia,50,"['Australia', 'New Zealand']",bat,Australia
16,"[datetime.date(2016, 12, 6)]",ODI,0,116,,Australia,50,"['Australia', 'New Zealand']",field,New Zealand
17,"[datetime.date(2016, 12, 9)]",ODI,0,117,,Australia,50,"['Australia', 'New Zealand']",bat,Australia
29,"[datetime.date(2016, 6, 11)]",ODI,0,,9,India,50,"['Zimbabwe', 'India']",field,India
30,"[datetime.date(2016, 6, 13)]",ODI,0,,8,India,50,"['Zimbabwe', 'India']",field,India
31,"[datetime.date(2016, 6, 15)]",ODI,0,,10,India,50,"['Zimbabwe', 'India']",bat,Zimbabwe
32,"[datetime.date(2016, 6, 18)]",T20,0,2,,Zimbabwe,20,"['Zimbabwe', 'India']",field,India
33,"[datetime.date(2016, 6, 20)]",T20,0,,10,India,20,"['Zimbabwe', 'India']",bat,Zimbabwe
34,"[datetime.date(2016, 6, 22)]",T20,0,3,,India,20,"['Zimbabwe', 'India']",field,Zimbabwe
37,"[datetime.date(2016, 12, 26)]",ODI,0,77,,New Zealand,50,"['New Zealand', 'Bangladesh']",bat,New Zealand
38,"[datetime.date(2016, 12, 29)]",ODI,0,67,,New Zealand,50,"['New Zealand', 'Bangladesh']",field,Bangladesh
39,"[datetime.date(2016, 12, 31)]",ODI,0,,8,New Zealand,50,"['New Zealand', 'Bangladesh']",bat,Bangladesh
40,"[datetime.date(2017, 1, 3)]",T20,0,,6,New Zealand,20,"['New Zealand', 'Bangladesh']",bat,Bangladesh
41,"[datetime.date(2017, 1, 6)]",T20,0,47,,New Zealand,20,"['New Zealand', 'Bangladesh']",field,Bangladesh
42,"[datetime.date(2017, 1, 8)]",T20,0,27,,New Zealand,20,"['New Zealand', 'Bangladesh']",field,Bangladesh
47,"[datetime.date(2017, 1, 30)]",ODI,0,6,,New Zealand,50,"['New Zealand', 'Australia']",field,Australia
48,"[datetime.date(2017, 2, 5)]",ODI,0,24,,New Zealand,50,"['New Zealand', 'Australia']",bat,New Zealand
49,"[datetime.date(2017, 2, 17)]",T20,0,78,,South Africa,20,"['New Zealand', 'South Africa']",field,New Zealand
50,"[datetime.date(2017, 2, 19)]",ODI,0,,4,South Africa,50,"['New Zealand', 'South Africa']",field,South Africa
